wkt_geom,SSC_CODE,SSC_NAME,CONF_VALUE,SQKM
POINT(144.786306 -37.698633),21320,Taylors Lakes,Very good,7.475419994
POINT(145.313683 -37.658250),20290,Christmas Hills (Vic.),Very good,49.77212438
POINT(145.344677 -37.903029),21321,Tecoma,Very good,1.647771963
POINT(145.487376 -37.605143),20291,Chum Creek,Very good,22.4874449
POINT(144.047895 -38.025765),21322,Teesdale (Vic.),Very good,13.11261413
POINT(143.961720 -37.686688),20293,Clarendon (Vic.),Poor,26.14365561
POINT(145.148633 -37.754047),21324,Templestowe,Very good,16.11723664
POINT(145.106009 -37.943093),20294,Clarinda,Very good,3.509355233
POINT(145.112273 -37.763868),21325,Templestowe Lower,Very good,5.93819263
POINT(144.793773 -37.469301),20295,Clarkefield,Poor,99.72814358
POINT(145.506206 -38.440262),21326,Tenby Point,Poor,42.65429971
POINT(145.130414 -37.917310),20296,Clayton,Very good,8.313071878
POINT(145.125214 -37.943061),20297,Clayton South,Very good,7.938549055
POINT(145.321373 -37.855687),21328,The Basin (Vic.),Good,5.716100958
POINT(145.417637 -37.934082),20298,Clematis,Very good,2.499184161
POINT(145.583545 -38.362344),21329,The Gurdies,Very poor,82.36745776
POINT(145.402157 -37.891870),21330,The Patch,Very good,3.976169752
POINT(144.997542 -37.790439),20300,Clifton Hill,Very good,1.738930036
POINT(145.008275 -37.683855),21331,Thomastown,Very good,14.68424644
POINT(144.570616 -38.154236),20301,Clifton Springs,Good,5.002062343
POINT(144.378902 -38.169844),21332,Thomson (Greater Geelong - Vic.),Very good,0.902156448
POINT(145.151086 -37.355995),20302,Clonbinane,Acceptable,275.606603
POINT(145.005138 -37.758288),21333,Thornbury,Very good,5.292804294
POINT(145.978739 -38.221360),20303,Cloverlea,Very poor,42.16203894
POINT(145.812103 -37.269647),21334,Thornton (Vic.),Acceptable,79.88919522
POINT(145.354951 -38.149015),20305,Clyde (Vic.),Acceptable,38.90263405
POINT(145.731501 -37.854473),21336,Three Bridges,Poor,99.73586307
POINT(144.964202 -37.744875),20311,Coburg,Very good,6.933716816
POINT(144.967456 -37.726991),20312,Coburg North,Very good,4.878197294
POINT(145.717024 -38.029144),21343,Tonimbuk,Poor,55.12450209
POINT(145.512738 -37.929884),20313,Cockatoo (Vic.),Very good,35.32356585
POINT(144.621508 -37.968680),20314,Cocoroc,Very poor,64.74553174
POINT(145.506696 -37.508571),21346,Toolangi,Acceptable,133.0337398
POINT(144.486651 -37.590992),20316,Coimadai,Very good,71.63087235
POINT(144.594298 -37.614772),21347,Toolern Vale,Acceptable,115.8492452
POINT(145.396445 -37.698599),20321,Coldstream (Vic.),Good,80.24969253
POINT(145.382762 -38.201318),21353,Tooradin,Very good,26.68673215
POINT(145.017609 -37.841617),21354,Toorak,Very good,4.319144767
POINT(144.988136 -37.802091),20324,Collingwood (Vic.),Very good,1.267039456
POINT(144.850153 -38.377704),21356,Tootgarook,Very good,3.488048754
POINT(144.322167 -38.308148),21357,Torquay (Vic.),Very good,34.30407181
POINT(144.386419 -38.252925),20328,Connewarre,Poor,42.70107879
POINT(144.852891 -37.804671),21359,Tottenham (Vic.),Very good,2.152508373
POINT(144.934602 -37.656753),20329,Coolaroo,Very good,3.135531247
POINT(145.617115 -38.145785),20332,Cora Lynn,Very good,23.17066982
POINT(145.431179 -38.414591),20334,Corinella (Vic.),Very good,1.818009565
POINT(144.375788 -38.067583),20335,Corio,Very good,18.9635134
POINT(145.444936 -38.433309),20336,Coronet Bay,Very good,4.095845577
POINT(144.935446 -37.780756),21367,Travancore,Very good,0.418301193
POINT(145.315741 -37.878846),21369,Tremont,Very poor,5.335716274
POINT(144.339306 -37.371769),21370,Trentham,Poor,129.0597192
POINT(145.223197 -37.607096),20340,Cottles Bridge,Very good,18.45773703
POINT(145.229046 -38.456221),20341,Cowes,Very good,8.138796737
POINT(144.734494 -37.831908),21372,Truganina,Very good,26.2016423
POINT(145.096737 -38.298695),21373,Tuerong,Very good,38.94951541
POINT(144.940125 -37.572776),20343,Craigieburn,Very good,35.32130024
POINT(144.871752 -37.704625),21374,Tullamarine,Very good,7.954622833
POINT(145.275709 -38.106896),20344,Cranbourne,Very good,13.0266293
POINT(145.342222 -38.104444),20345,Cranbourne East,Very good,42.88919545
POINT(145.187138 -38.263711),21376,Tyabb,Very good,25.53132809
POINT(145.298843 -38.077494),20346,Cranbourne North,Very good,10.23952792
POINT(145.253216 -38.156765),20347,Cranbourne South,Very good,18.51059779
POINT(144.426345 -37.319535),21378,Tylden,Poor,76.52073297
POINT(145.248402 -38.101848),20348,Cranbourne West,Very good,12.89820888
POINT(145.633922 -38.096501),21379,Tynong,Poor,28.48941379
POINT(144.992765 -37.829021),20349,Cremorne (Vic.),Very good,0.665296098
POINT(145.628001 -38.028101),21380,Tynong North,Very good,48.36339214
POINT(145.202887 -38.352354),20352,Crib Point,Very good,6.515952277
POINT(145.284420 -37.795164),20354,Croydon (Vic.),Very good,14.19584018
POINT(145.267078 -37.775933),20355,Croydon Hills,Very good,2.258917815
POINT(145.283918 -37.771864),20356,Croydon North,Very good,4.00733138
POINT(145.309862 -37.896670),21387,Upper Ferntree Gully,Very good,2.890478685
POINT(145.273623 -37.815011),20357,Croydon South,Very good,2.08326241
POINT(145.054651 -37.419665),21389,Upper Plenty,Very good,31.38679463
POINT(145.327969 -37.905212),21390,Upwey,Very good,6.755567061
POINT(144.524772 -38.176332),20361,Curlewis (Vic.),Good,17.31659447
